uniprot_id	entry_name	gene_symbol	protein_name	pe_level	length
Q96BD0	SO4A1_HUMAN	SLCO4A1	Solute carrier organic anion transporter family member 4A1	1	722
Q96DV4	RM38_HUMAN	MRPL38	Large ribosomal subunit protein mL38	1	380
Q96G03	PGM2_HUMAN	PGM2	Phosphopentomutase	1	612
Q96G04	EF2KT_HUMAN	EEF2KMT	Protein-lysine N-methyltransferase EEF2KMT	1	330
Q96P50	ACAP3_HUMAN	ACAP3	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3	1	834
Q96PD2	DCBD2_HUMAN	DCBLD2	Discoidin, CUB and LCCL domain-containing protein 2	1	775
Q96S19	MTL26_HUMAN	METTL26	Methyltransferase-like 26	1	204
Q99578	RIT2_HUMAN	RIT2	GTP-binding protein Rit2	1	217
Q9BUQ8	DDX23_HUMAN	DDX23	Probable ATP-dependent RNA helicase DDX23	1	820
Q9BXN1	ASPN_HUMAN	ASPN	Asporin	1	380
Q9BXU0	TEX12_HUMAN	TEX12	Testis-expressed protein 12	1	123
Q9BZG1	RAB34_HUMAN	RAB34	Ras-related protein Rab-34	1	259
Q9BZM5	ULBP2_HUMAN	ULBP2	UL16-binding protein 2	1	246
Q9GZV3	SC5A7_HUMAN	SLC5A7	High affinity choline transporter 1	1	580
Q9H091	ZMY15_HUMAN	ZMYND15	Zinc finger MYND domain-containing protein 15	1	742
Q9H1Z9	TSN10_HUMAN	TSPAN10	Tetraspanin-10	1	355
Q9H4B6	SAV1_HUMAN	SAV1	Protein salvador homolog 1	1	383
Q9H8Y5	ANKZ1_HUMAN	ANKZF1	tRNA endonuclease ANKZF1	1	726
Q9HCD5	NCOA5_HUMAN	NCOA5	Nuclear receptor coactivator 5	1	579
Q9HCG8	CWC22_HUMAN	CWC22	Pre-mRNA-splicing factor CWC22 homolog	1	908
Q9NQG7	HPS4_HUMAN	HPS4	BLOC-3 complex member HPS4	1	708
Q9NR34	MA1C1_HUMAN	MAN1C1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC	1	630
Q9NYM4	GPR83_HUMAN	GPR83	G protein-coupled receptor 83	1	423
Q9P0K9	FRS1L_HUMAN	FRRS1L	DOMON domain-containing protein FRRS1L	1	293
Q9P1A2	PP4RL_HUMAN	PPP4R1L	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	5	415
Q9UBK5	HCST_HUMAN	HCST	Hematopoietic cell signal transducer	1	93
Q9UGV2	NDRG3_HUMAN	NDRG3	Protein NDRG3	1	375
Q9Y2H2	SAC2_HUMAN	INPP5F	Phosphatidylinositide 4-phosphatase SAC2	1	1132
Q9Y5E2	PCDB7_HUMAN	PCDHB7	Protocadherin beta-7	1	793
Q9Y5I7	CLD16_HUMAN	CLDN16	Claudin-16	1	235
Q9Y5L3	ENTP2_HUMAN	ENTPD2	Ectonucleoside triphosphate diphosphohydrolase 2	1	495
Q9Y6A2	CP46A_HUMAN	CYP46A1	Cholesterol 24-hydroxylase	1	500
A0A087X0K7	TVB17_HUMAN	TRBV17	Probable non-functional T cell receptor beta variable 17	1	114
A0A0B4J280	TVA40_HUMAN	TRAV40	T cell receptor alpha variable 40	3	105
A0A1W2PQ73	ERFL_HUMAN	ERFL	ETS domain-containing transcription factor ERF-like	3	354
A6NF89	OR6C6_HUMAN	OR6C6	Olfactory receptor 6C6	3	314
A8MZ59	LEUTX_HUMAN	LEUTX	Paired-like homeodomain transcription factor LEUTX	1	198
A9UHW6	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1	222
B2RTY4	MYO9A_HUMAN	MYO9A	Unconventional myosin-IXa	1	2548
B3GLJ2	PATE3_HUMAN	PATE3	Prostate and testis expressed protein 3	1	98
E9PQ53	NDUCR_HUMAN	NDUFC2-KCTD14	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2	1	114
E9PRG8	RSMC_HUMAN	RSMC	28S rRNA/ribosome and sororin micro-cofactor	1	123
O15535	ZSC9_HUMAN	ZSCAN9	Zinc finger and SCAN domain-containing protein 9	1	394
O43257	ZNHI1_HUMAN	ZNHIT1	Zinc finger HIT domain-containing protein 1	1	154
O43278	SPIT1_HUMAN	SPINT1	Kunitz-type protease inhibitor 1	1	529
O43688	PLPP2_HUMAN	PLPP2	Phospholipid phosphatase 2	1	288
O43924	PDE6D_HUMAN	PDE6D	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	1	150
O43927	CXL13_HUMAN	CXCL13	C-X-C motif chemokine 13	1	109
O60869	EDF1_HUMAN	EDF1	Endothelial differentiation-related factor 1	1	148
O75038	PLCH2_HUMAN	PLCH2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	1	1416
O75695	XRP2_HUMAN	RP2	Protein XRP2	1	350
O75752	B3GL1_HUMAN	B3GALNT1	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	1	331
O75891	AL1L1_HUMAN	ALDH1L1	Cytosolic 10-formyltetrahydrofolate dehydrogenase	1	902
O95551	TYDP2_HUMAN	TDP2	Tyrosyl-DNA phosphodiesterase 2	1	362
O95716	RAB3D_HUMAN	RAB3D	Ras-related protein Rab-3D	1	219
P00540	MOS_HUMAN	MOS	Proto-oncogene serine/threonine-protein kinase mos	1	346
P02458	CO2A1_HUMAN	COL2A1	Collagen alpha-1(II) chain	1	1487
P02818	OSTCN_HUMAN	BGLAP	Osteocalcin	1	100
P06732	KCRM_HUMAN	CKM	Creatine kinase M-type	1	381
P07947	YES_HUMAN	YES1	Tyrosine-protein kinase Yes	1	543
P09038	FGF2_HUMAN	FGF2	Fibroblast growth factor 2	1	288
P0C671	BNIP5_HUMAN	BNIP5	Protein BNIP5	1	652
P0C7U0	ELFN1_HUMAN	ELFN1	Protein ELFN1	1	828
P0CJ69	HMN2_HUMAN	MTRNR2L2	Humanin-like 2	2	28
P10645	CMGA_HUMAN	CHGA	Chromogranin-A	1	457
P11234	RALB_HUMAN	RALB	Ras-related protein Ral-B	1	206
P13535	MYH8_HUMAN	MYH8	Myosin-8	1	1937
P17025	ZN182_HUMAN	ZNF182	Zinc finger protein 182	1	639
P19784	CSK22_HUMAN	CSNK2A2	Casein kinase II subunit alpha'	1	350
P20273	CD22_HUMAN	CD22	B-cell receptor CD22	1	847
P22090	RS4Y1_HUMAN	RPS4Y1	Small ribosomal subunit protein eS4, Y isoform 1	1	263
P23141	EST1_HUMAN	CES1	Liver carboxylesterase 1	1	567
P23467	PTPRB_HUMAN	PTPRB	Receptor-type tyrosine-protein phosphatase beta	1	1997
P30260	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	1	824
P30559	OXYR_HUMAN	OXTR	Oxytocin receptor	1	389
P42126	ECI1_HUMAN	ECI1	Enoyl-CoA delta isomerase 1, mitochondrial	1	302
P48995	TRPC1_HUMAN	TRPC1	Short transient receptor potential channel 1	1	793
P52732	KIF11_HUMAN	KIF11	Kinesin-like protein KIF11	1	1056
P60328	KR123_HUMAN	KRTAP12-3	Keratin-associated protein 12-3	1	96
P61599	NAA20_HUMAN	NAA20	N-alpha-acetyltransferase 20	1	178
P78385	KRT83_HUMAN	KRT83	Keratin, type II cuticular Hb3	1	493
Q01167	FOXK2_HUMAN	FOXK2	Forkhead box protein K2	1	660
Q01484	ANK2_HUMAN	ANK2	Ankyrin-2	1	3957
Q08AF3	SLFN5_HUMAN	SLFN5	Schlafen family member 5	1	891
Q12889	OVGP1_HUMAN	OVGP1	Oviduct-specific glycoprotein	1	678
Q18PE1	DOK7_HUMAN	DOK7	Protein Dok-7	1	504
Q2M3A8	MRAS1_HUMAN	MRGPRG-AS1	Putative uncharacterized protein MRGPRG-AS1	5	158
Q2M3V2	SWAHA_HUMAN	SOWAHA	Ankyrin repeat domain-containing protein SOWAHA	1	549
Q5H8A3	NMS_HUMAN	NMS	Neuromedin-S	1	153
Q5JPH6	SYEM_HUMAN	EARS2	Nondiscriminating glutamyl-tRNA synthetase EARS2, mitochondrial	1	523
Q5T7V8	GORAB_HUMAN	GORAB	RAB6-interacting golgin	1	369
Q68DK7	MSL1_HUMAN	MSL1	Male-specific lethal 1 homolog	1	614
Q6UXH0	ANGL8_HUMAN	ANGPTL8	Angiopoietin-like protein 8	1	198
Q6ZN66	GBP6_HUMAN	GBP6	Guanylate-binding protein 6	1	633
Q6ZSY5	PPR3F_HUMAN	PPP1R3F	Protein phosphatase 1 regulatory subunit 3F	1	799
Q7RTP0	NIPA1_HUMAN	NIPA1	Magnesium transporter NIPA1	1	329
Q7Z5V6	SAXO4_HUMAN	SAXO4	Stabilizer of axonemal microtubules 4	1	425
Q86SG7	LYG2_HUMAN	LYG2	Lysozyme g-like protein 2	1	212
Q86SJ2	AMGO2_HUMAN	AMIGO2	Amphoterin-induced protein 2	1	522
Q86TV6	TTC7B_HUMAN	TTC7B	Tetratricopeptide repeat protein 7B	1	843
Q86W50	MET16_HUMAN	METTL16	RNA N(6)-adenosine-methyltransferase METTL16	1	562
Q8IWB6	TEX14_HUMAN	TEX14	Inactive serine/threonine-protein kinase TEX14	1	1497
Q8IXB1	DJC10_HUMAN	DNAJC10	Endoplasmic reticulum disulfide reductase DNAJC10	1	793
Q8IY37	DHX37_HUMAN	DHX37	Probable ATP-dependent RNA helicase DHX37	1	1157
Q8IZD2	KMT2E_HUMAN	KMT2E	Histone reader KMT2E	1	1858
Q8NBR6	MINY2_HUMAN	MINDY2	Ubiquitin carboxyl-terminal hydrolase MINDY-2	1	621
Q8NFR9	I17RE_HUMAN	IL17RE	Interleukin-17 receptor E	1	667
Q8NGE0	O10AD_HUMAN	OR10AD1	Olfactory receptor 10AD1	2	317
Q92851	CASPA_HUMAN	CASP10	Caspase-10	1	521
Q96MF6	CQ10A_HUMAN	COQ10A	Coenzyme Q-binding protein COQ10 homolog A, mitochondrial	1	247
Q96RP7	G3ST4_HUMAN	GAL3ST4	Galactose-3-O-sulfotransferase 4	1	486
Q9BQC3	DPH2_HUMAN	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	1	489
Q9BQS6	HSPB9_HUMAN	HSPB9	Heat shock protein beta-9	1	159
Q9BRR8	GPTC1_HUMAN	GPATCH1	G patch domain-containing protein 1	1	931
Q9BSD3	RHNO1_HUMAN	RHNO1	RAD9, HUS1, RAD1-interacting nuclear orphan protein 1	1	238
Q9BU02	THTPA_HUMAN	THTPA	Thiamine-triphosphatase	1	230
Q9BYV2	TRI54_HUMAN	TRIM54	Tripartite motif-containing protein 54	1	358
Q9GZV8	PRD14_HUMAN	PRDM14	PR domain zinc finger protein 14	1	571
Q9H1L0	MI1HG_HUMAN	MIR1-1HG	Uncharacterized protein MIR1-1HG	4	117
Q9H322	VCX2_HUMAN	VCX2	Variable charge X-linked protein 2	1	139
Q9H611	PIF1_HUMAN	PIF1	ATP-dependent DNA helicase PIF1	1	641
Q9HB09	B2L12_HUMAN	BCL2L12	Bcl-2-like protein 12	1	250
Q9NRW1	RAB6B_HUMAN	RAB6B	Ras-related protein Rab-6B	1	208
Q9NUU7	DD19A_HUMAN	DDX19A	ATP-dependent RNA helicase DDX19A	1	478
Q9NX46	ADPRS_HUMAN	ADPRS	ADP-ribosylhydrolase ARH3	1	363
Q9UHY7	ENOPH_HUMAN	ENOPH1	Enolase-phosphatase E1	1	261
Q9UQD0	SCN8A_HUMAN	SCN8A	Sodium channel protein type 8 subunit alpha	1	1980
Q9Y3R0	GRIP1_HUMAN	GRIP1	Glutamate receptor-interacting protein 1	1	1128
Q9Y5B8	NDK7_HUMAN	NME7	Nucleoside diphosphate kinase 7	1	376
Q9Y5I4	PCDC2_HUMAN	PCDHAC2	Protocadherin alpha-C2	1	1007
A0A1B0GUA7	TEX51_HUMAN	TEX51	Testis-expressed protein 51	3	166
A0A494C1R9	TSPY9_HUMAN	TSPY9	Testis-specific Y-encoded protein 9	3	314
A6NCE7	MP3B2_HUMAN	MAP1LC3B2	Microtubule-associated protein 1 light chain 3 beta 2	1	125
A6NKW6	SHL2B_HUMAN	SHISAL2B	Protein shisa-like-2B	1	160
O43405	COCH_HUMAN	COCH	Cochlin	1	550
O43781	DYRK3_HUMAN	DYRK3	Dual specificity tyrosine-phosphorylation-regulated kinase 3	1	588
O95072	REC8_HUMAN	REC8	Meiotic recombination protein REC8 homolog	1	547
P02708	ACHA_HUMAN	CHRNA1	Acetylcholine receptor subunit alpha	1	457
P02768	ALBU_HUMAN	ALB	Albumin	1	609
P04201	MAS_HUMAN	MAS1	Proto-oncogene Mas	1	325
P09429	HMGB1_HUMAN	HMGB1	High mobility group protein B1	1	215
P0C264	SBK3_HUMAN	SBK3	Uncharacterized serine/threonine-protein kinase SBK3	1	359
P0DPP9	ETDB_HUMAN	ETDB	Embryonic testis differentiation protein homolog B	4	59
P12268	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2	1	514
P15408	FOSL2_HUMAN	FOSL2	Fos-related antigen 2	1	326
P20711	DDC_HUMAN	DDC	Aromatic-L-amino-acid decarboxylase	1	480
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	1	158
P35790	CHKA_HUMAN	CHKA	Choline kinase alpha	1	457
P42685	FRK_HUMAN	FRK	Tyrosine-protein kinase FRK	1	505
P56975	NRG3_HUMAN	NRG3	Pro-neuregulin-3, membrane-bound isoform	1	720
P60508	SYCY2_HUMAN	ERVFRD-1	Syncytin-2	1	538
P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6	1	175
P83881	RL36A_HUMAN	RPL36A	Large ribosomal subunit protein eL42	1	106
Q03169	TNAP2_HUMAN	TNFAIP2	Tumor necrosis factor alpha-induced protein 2	1	654
Q04206	TF65_HUMAN	RELA	Transcription factor p65	1	551
Q06416	P5F1B_HUMAN	POU5F1B	POU domain, class 5, transcription factor 1B	1	359
Q06520	ST2A1_HUMAN	SULT2A1	Sulfotransferase 2A1	1	285
Q13901	C1D_HUMAN	C1D	Nuclear nucleic acid-binding protein C1D	1	141
Q14586	ZN267_HUMAN	ZNF267	Zinc finger protein 267	1	743
Q15392	DHC24_HUMAN	DHCR24	Delta(24)-sterol reductase	1	516
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	1	197
Q2NKQ1	SGSM1_HUMAN	SGSM1	Small G protein signaling modulator 1	1	1148
Q5BJH2	TM128_HUMAN	TMEM128	Transmembrane protein 128	1	165
Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	1	873
Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	1	851
Q66K89	E4F1_HUMAN	E4F1	Transcription factor E4F1	1	784
Q6IQ32	ADNP2_HUMAN	ADNP2	Activity-dependent neuroprotector homeobox protein 2	1	1131
Q6JBY9	CPZIP_HUMAN	RCSD1	CapZ-interacting protein	1	416
Q6NXP0	EFC12_HUMAN	EFCAB12	EF-hand calcium-binding domain-containing protein 12	1	572
Q6PHW0	IYD1_HUMAN	IYD	Iodotyrosine deiodinase 1	1	289
Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	1	736
Q6XR72	ZNT10_HUMAN	SLC30A10	Calcium/manganese antiporter SLC30A10	1	485
Q6ZMC9	SIG15_HUMAN	SIGLEC15	Sialic acid-binding Ig-like lectin 15	1	328
Q6ZU67	BEND4_HUMAN	BEND4	BEN domain-containing protein 4	1	534
Q7Z7K0	COXM1_HUMAN	CMC1	COX assembly mitochondrial protein homolog	1	106
Q86TM6	SYVN1_HUMAN	SYVN1	E3 ubiquitin-protein ligase synoviolin	1	617
Q86TU7	SETD3_HUMAN	SETD3	Actin-histidine N-methyltransferase	1	594
Q86UL3	GPAT4_HUMAN	GPAT4	Glycerol-3-phosphate acyltransferase 4	1	456
Q86VZ1	P2RY8_HUMAN	P2RY8	S-geranylgeranyl-glutathione receptor P2RY8	1	359
Q8IWN7	RP1L1_HUMAN	RP1L1	Retinitis pigmentosa 1-like 1 protein	1	2400
Q8IYB5	SMAP1_HUMAN	SMAP1	Stromal membrane-associated protein 1	1	467
Q8IZP7	H6ST3_HUMAN	HS6ST3	Heparan-sulfate 6-O-sulfotransferase 3	1	471
Q8N1V8	CJ085_HUMAN	LINC01561	Uncharacterized protein encoded by LINC01561	5	128
Q8N392	RHG18_HUMAN	ARHGAP18	Rho GTPase-activating protein 18	1	663
Q8N5C8	TAB3_HUMAN	TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3	1	712
Q8N801	STPG4_HUMAN	STPG4	Protein STPG4	1	248
Q8N9S9	SNX31_HUMAN	SNX31	Sorting nexin-31	1	440
Q8NAX2	KDF1_HUMAN	KDF1	Keratinocyte differentiation factor 1	1	398
Q8NFV4	ABHDB_HUMAN	ABHD11	sn-1-specific diacylglycerol lipase ABHD11	1	306
Q8NG48	LINES_HUMAN	LINS1	Protein Lines homolog 1	1	757
Q8NGG1	OR8J2_HUMAN	OR8J2	Olfactory receptor 8J2	3	315
Q8NH03	OR2T3_HUMAN	OR2T3	Olfactory receptor 2T3	2	318
Q8TDV0	GP151_HUMAN	GPR151	G protein-coupled receptor 151	1	419
Q92530	PSMF1_HUMAN	PSMF1	Proteasome inhibitor PI31 subunit	1	271
Q92633	LPAR1_HUMAN	LPAR1	Lysophosphatidic acid receptor 1	1	364
Q92743	HTRA1_HUMAN	HTRA1	Serine protease HTRA1	1	480
Q96BZ8	LENG1_HUMAN	LENG1	Leukocyte receptor cluster member 1	1	264
Q96DX8	RTP4_HUMAN	RTP4	Receptor-transporting protein 4	1	246
Q96FI4	NEIL1_HUMAN	NEIL1	Endonuclease 8-like 1	1	390
Q96G61	NUD11_HUMAN	NUDT11	Diphosphoinositol polyphosphate phosphohydrolase 3-beta	1	164
Q96JF0	SIAT2_HUMAN	ST6GAL2	Beta-galactoside alpha-2,6-sialyltransferase 2	1	529
Q96MA6	KAD8_HUMAN	AK8	Adenylate kinase 8	1	479
Q96NS5	ASB16_HUMAN	ASB16	Ankyrin repeat and SOCS box protein 16	1	453
Q96RP3	UCN2_HUMAN	UCN2	Urocortin-2	1	112
Q96RU3	FNBP1_HUMAN	FNBP1	Formin-binding protein 1	1	617
Q96SR6	ZN382_HUMAN	ZNF382	Zinc finger protein 382	1	550
Q99697	PITX2_HUMAN	PITX2	Pituitary homeobox 2	1	317
Q99733	NP1L4_HUMAN	NAP1L4	Nucleosome assembly protein 1-like 4	1	375
Q99758	ABCA3_HUMAN	ABCA3	Phospholipid-transporting ATPase ABCA3	1	1704
Q9BSA4	TTYH2_HUMAN	TTYH2	Protein tweety homolog 2	1	534
Q9BVH7	SIA7E_HUMAN	ST6GALNAC5	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	1	336
Q9BVM2	DPCD_HUMAN	DPCD	Protein DPCD	1	203
Q9BVV6	TALD3_HUMAN	KIAA0586	Protein TALPID3	1	1533
Q9BZQ4	NMNA2_HUMAN	NMNAT2	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2	1	307
Q9C0C6	CIPC_HUMAN	CIPC	CLOCK-interacting pacemaker	1	399
Q9GZN1	ARP6_HUMAN	ACTR6	Actin-related protein 6	1	396
Q9H8H0	NOL11_HUMAN	NOL11	Nucleolar protein 11	1	719
Q9H8H2	DDX31_HUMAN	DDX31	ATP-dependent DNA helicase DDX31	1	851
Q9HD67	MYO10_HUMAN	MYO10	Unconventional myosin-X	1	2058
Q9NQE7	TSSP_HUMAN	PRSS16	Thymus-specific serine protease	1	514
Q9NXJ5	PGPI_HUMAN	PGPEP1	Pyroglutamyl-peptidase 1	1	209
Q9NY64	SL2A8_HUMAN	SLC2A8	Solute carrier family 2, facilitated glucose transporter member 8	1	477
Q9NZL3	ZN224_HUMAN	ZNF224	Zinc finger protein 224	1	707
Q9NZR4	VSX1_HUMAN	VSX1	Visual system homeobox 1	1	365
Q9QC07	POK18_HUMAN	ERVK-18	Endogenous retrovirus group K member 18 Pol protein	3	812
Q9UDR5	AASS_HUMAN	AASS	Alpha-aminoadipic semialdehyde synthase, mitochondrial	1	926
Q9UGK8	SRGEF_HUMAN	SERGEF	Secretion-regulating guanine nucleotide exchange factor	1	458
Q9UK17	KCND3_HUMAN	KCND3	A-type voltage-gated potassium channel KCND3	1	655
Q9UMY4	SNX12_HUMAN	SNX12	Sorting nexin-12	1	162
Q9UPW8	UN13A_HUMAN	UNC13A	Protein unc-13 homolog A	1	1703
A3KFT3	OR2M5_HUMAN	OR2M5	Olfactory receptor 2M5	3	312
A6NEM1	GG6L9_HUMAN	GOLGA6L9	Golgin subfamily A member 6-like protein 9	1	432
A6NEN9	CX065_HUMAN	CXorf65	Uncharacterized protein CXorf65	1	183
A6NHZ5	LR14B_HUMAN	LRRC14B	Leucine-rich repeat-containing protein 14B	1	514
A8MY62	BLML_HUMAN	LACTBL1	Beta-lactamase-like protein 1	1	579
H3BMG3	SMKR1_HUMAN	SMKR1	Small lysine-rich protein 1	4	65
H3BQB6	STMD1_HUMAN	STMND1	Stathmin domain-containing protein 1	1	276
O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha	1	360
O00470	MEIS1_HUMAN	MEIS1	Homeobox protein Meis1	1	390
O14753	OVOL1_HUMAN	OVOL1	Putative transcription factor Ovo-like 1	1	267
O15554	KCNN4_HUMAN	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4	1	427
O43174	CP26A_HUMAN	CYP26A1	Cytochrome P450 26A1	1	497
O43303	CP110_HUMAN	CCP110	Centriolar coiled-coil protein of 110 kDa	1	1012
O75192	PX11A_HUMAN	PEX11A	Peroxisomal membrane protein 11A	1	247
O75508	CLD11_HUMAN	CLDN11	Claudin-11	1	207
O75947	ATP5H_HUMAN	ATP5PD	ATP synthase peripheral stalk subunit d, mitochondrial	1	161
O95140	MFN2_HUMAN	MFN2	Mitofusin-2	1	757
P00568	KAD1_HUMAN	AK1	Adenylate kinase isoenzyme 1	1	194
P00797	RENI_HUMAN	REN	Renin	1	406
P01270	PTHY_HUMAN	PTH	Parathyroid hormone	1	115
P06307	CCKN_HUMAN	CCK	Cholecystokinin	1	115
P09972	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C	1	364
P0DTE5	UD2A2_HUMAN	UGT2A2	UDP-glucuronosyltransferase 2A2	1	536
P14061	DHB1_HUMAN	HSD17B1	17-beta-hydroxysteroid dehydrogenase type 1	1	328
P16519	NEC2_HUMAN	PCSK2	Neuroendocrine convertase 2	1	638
P21108	PRPS3_HUMAN	PRPS1L1	Ribose-phosphate pyrophosphokinase 3	1	318
P25788	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	1	255
P30939	5HT1F_HUMAN	HTR1F	5-hydroxytryptamine receptor 1F	1	366
P34949	MPI_HUMAN	MPI	Mannose-6-phosphate isomerase	1	423
P36957	ODO2_HUMAN	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1	453
P40313	CTRL_HUMAN	CTRL	Chymotrypsin-like protease CTRL-1	1	264
P43629	KI3L1_HUMAN	KIR3DL1	Killer cell immunoglobulin-like receptor 3DL1	1	444
P51553	IDH3G_HUMAN	IDH3G	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	1	393
P51815	ZN75D_HUMAN	ZNF75D	Zinc finger protein 75D	2	510
P59095	STAR6_HUMAN	STARD6	StAR-related lipid transfer protein 6	1	220
Q08828	ADCY1_HUMAN	ADCY1	Adenylate cyclase type 1	1	1119
Q0VAK6	LMOD3_HUMAN	LMOD3	Leiomodin-3	1	560
Q13105	ZBT17_HUMAN	ZBTB17	Zinc finger and BTB domain-containing protein 17	1	803
Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	1	344
Q13670	PM2PB_HUMAN	PMS2P11	Putative postmeiotic segregation increased 2-like protein 11	5	270
Q13907	IDI1_HUMAN	IDI1	Isopentenyl-diphosphate Delta-isomerase 1	1	227
Q14118	DAG1_HUMAN	DAG1	Dystroglycan 1	1	895
Q14165	MLEC_HUMAN	MLEC	Malectin	1	292
Q14695	K0087_HUMAN	KIAA0087	Uncharacterized protein KIAA0087	2	138
Q14982	OPCM_HUMAN	OPCML	Opioid-binding protein/cell adhesion molecule	1	345
Q16602	CALRL_HUMAN	CALCRL	Calcitonin gene-related peptide type 1 receptor	1	461
Q30KQ9	DB110_HUMAN	DEFB110	Beta-defensin 110	3	67
Q58HT5	AWAT1_HUMAN	AWAT1	Acyl-CoA wax alcohol acyltransferase 1	1	328
Q5HYJ3	FA76B_HUMAN	FAM76B	Protein FAM76B	1	339
Q5SVJ3	SMIP3_HUMAN	SPMIP3	Protein SPMIP3	1	147
Q5TA78	LCE4A_HUMAN	LCE4A	Late cornified envelope protein 4A	1	99
Q5TGI0	FAXC_HUMAN	FAXC	Failed axon connections homolog	1	409
Q5VU69	CP141_HUMAN	CFAP141	Cilia- and flagella-associated protein 141	1	101
Q6E0U4	DMKN_HUMAN	DMKN	Dermokine	1	476
Q6IF36	O8G2P_HUMAN	OR8G2P	Olfactory receptor 8G2	2	304
Q6PF05	TT23L_HUMAN	TTC23L	Tetratricopeptide repeat protein 23-like	1	361
Q6Q759	SPG17_HUMAN	SPAG17	Sperm-associated antigen 17	1	2223
Q6SJ93	F111B_HUMAN	FAM111B	Serine protease FAM111B	1	734
Q6W0C5	DPPA3_HUMAN	DPPA3	Developmental pluripotency-associated protein 3	1	159
Q6ZNM6	SMI10_HUMAN	SPMIP10	Sperm-associated microtubule inner protein 10	1	134
Q71U36	TBA1A_HUMAN	TUBA1A	Tubulin alpha-1A chain	1	451
Q86T23	CROL1_HUMAN	CROCCP2	Putative ciliary rootlet coiled-coil protein-like 1 protein	5	111
Q86UW7	CAPS2_HUMAN	CADPS2	Calcium-dependent secretion activator 2	1	1296
Q8IZF7	AGRF2_HUMAN	ADGRF2P	Putative adhesion G protein-coupled receptor F2P	5	708
Q8N0U6	CF218_HUMAN	LINC00518	Putative uncharacterized protein encoded by LINC00518	5	118
Q8N1F8	S11IP_HUMAN	STK11IP	Serine/threonine-protein kinase 11-interacting protein	1	1088
Q8N5T2	TBC19_HUMAN	TBC1D19	TBC1 domain family member 19	1	526
Q8NGN0	OR4D5_HUMAN	OR4D5	Olfactory receptor 4D5	2	318
Q8TB72	PUM2_HUMAN	PUM2	Pumilio homolog 2	1	1066
Q8WW62	TMED6_HUMAN	TMED6	Transmembrane emp24 domain-containing protein 6	1	240
Q8WXA9	SREK1_HUMAN	SREK1	Splicing regulatory glutamine/lysine-rich protein 1	1	508
Q8WY54	PPM1E_HUMAN	PPM1E	Protein phosphatase 1E	1	755
Q92854	SEM4D_HUMAN	SEMA4D	Semaphorin-4D	1	862
Q969E4	TCAL3_HUMAN	TCEAL3	Transcription elongation factor A protein-like 3	1	200
Q969U6	FBXW5_HUMAN	FBXW5	F-box/WD repeat-containing protein 5	1	566
Q96AY3	FKB10_HUMAN	FKBP10	Peptidyl-prolyl cis-trans isomerase FKBP10	1	582
Q96BF3	TMIG2_HUMAN	TMIGD2	Transmembrane and immunoglobulin domain-containing protein 2	1	282
Q96HR9	REEP6_HUMAN	REEP6	Receptor expression-enhancing protein 6	1	211
Q96KG9	SCYL1_HUMAN	SCYL1	N-terminal kinase-like protein	1	808
Q99717	SMAD5_HUMAN	SMAD5	SMAD family member 5	1	465
Q9BTY7	HGH1_HUMAN	HGH1	Co-chaperone protein HGH1 homolog	1	390
Q9BXA7	TSSK1_HUMAN	TSSK1B	Testis-specific serine/threonine-protein kinase 1	1	367
Q9H4Q4	PRD12_HUMAN	PRDM12	PR domain zinc finger protein 12	1	367
